id,type,turkish,english
629,verb,emekli olmak,to retire
630,verb,geçirmek,to spend (to get something through)
631,verb,hazırlamak,to get ready (to prepare)
632,adjective,düşman,enemy (foe)
633,noun,hemşire,nurse
634,phrase,elinize sağlık,health to your hand
635,verb,anlamak,to understand
636,verb,çıkmak,to exit
637,verb,hecelemek,to spell (to syllabicate)
638,verb,ayrılmak,to leave
639,adverb,kimse,anybody
640,noun,kıyafet,clothes
641,noun,vatandaş,citizen
642,adverb,birisi,somebody
643,adverb,kısacası,in brief
644,noun,tekne,boat
645,noun,politikacı,politician
646,verb,göndermek,to send
647,noun,turşu,pickle
648,noun,gezeteci,journalist
649,noun,konu,topic
650,verb,geri dönmek,to come back
651,noun,duygu,emotion
652,noun,tahmin,guess
653,verb,tercüme etmek,to translate
654,adverb,eskiden,in the past
655,test,test,test
656,test,test2,test2
657,verb,esnemek,to yawn
658,noun,hürriyet,liberty
659,adjective,hür,free
660,verb,hatırlamak,to remember
661,noun,kaşık,spoon
662,noun,çatal,fork
663,noun,bıçak,knife
664,noun,gümüş takımlar,silverware
665,noun,ağaç,tree
666,verb,inanmak,to believe
667,verb,unutmak,to forget
668,noun,kemik,bone
669,verb,getirmek,to bring
670,noun,tuz,salt
671,noun,kumanda,remote control
672,noun,yorgan,blanket
673,noun,kase,bowl
674,noun,yatak,bed
675,adjective,evli,married
676,verb,kapatmak,to close
677,verb,giyinmek,to dress
678,verb,içmek,to drink
679,noun,ders,lesson
680,noun,geri,reverse
681,adjective,uzun,tall
682,verb,gülmek,to laugh
683,verb,uyumak,to sleep
684,adjective,öğrenci,student
685,noun,diş,tooth
686,noun,dişler,teeth
687,verb,yazmak,to write
688,verb,yemek,to eat
689,verb,ezberlemek,to memorize
690,adjective,komşu,neighbor
691,noun,saç,hair
692,noun,mendil,tissue
693,adjective,ilginç,interesting
694,adverb,resmen,officially
695,verb,güvenmek,to trust (to rely on)
696,noun,bilgisayar,computer
697,noun,makin,machine
698,verb,başlamak,to begin (to start)
699,verb,yıkamak,to wash
700,verb,harcamak,"to use up (to spend, to consume)"
701,verb,göstermek,to show
702,noun,piramit,pyramid
703,noun,çatı,roof
704,noun,boya,paint
705,adverb,yukarı,up
706,adjective,şişman,fat
707,adjective,kuru,dry
708,noun,şişe,bottle
709,noun,boyun,neck
710,noun,ocak,stove
711,noun,mangal,bbq grill
712,noun,doğu,east
713,noun,ada,island
714,noun,ayak,foot
715,adjective,yerel,local
716,noun,dün,yesterday
717,adjective,gibi...,like...
718,verb,dinlemek,to listen
719,verb,açmak,to open
720,adjective,zayıf,slender
721,noun,sesli mesaj,voice mail
722,noun,elma,apple
723,adjective,çeyrek,quarter
724,noun,nisan,april
725,noun,sabun,soap
726,noun,sandalye,chair
727,noun,sabah,morning
728,noun,kat,floor
729,noun,üzüm,grape
730,verb,bitirmek,to finish
731,adverb,neyse,anyway
732,noun,perşembe,thursday
733,noun,tava,pan
734,noun,biftek,steak
735,noun,hafta sonu,weekend
736,noun,çaydanlık,tea pot
737,noun,kan,blood
738,noun,yüz,(one) hundred
739,adverb,kadar...,as ... as (until)
740,adverb,hepsi,all of it
741,noun,çerçeve,frame
742,noun,hava,weather
743,noun,çekmece,drawer
744,noun,tabak,plate
745,noun,daire,circle
746,noun,pamuk,cotton
747,noun,anahtar,key
748,noun,eldiven,glove
749,verb,çekmek,to pull
750,verb,yürümek,to walk
751,noun,el,hand
752,noun,kamyon,truck
753,noun,yol,road
754,adjective,geç,late
755,adverb,önce,before
756,adjective,kirli,dirty
757,noun,çikolata,chocolate
758,noun,çarşaf,sheet
759,noun,salı,tuesday
760,noun,çimen,grass
761,adjective,dışarı,out
762,noun,avukat,lawyer
763,adjective,temiz,clean
764,noun,yetmiş,seventy
765,adjective,soğuk,cold
766,adjective,soğu,cool
767,noun,domuz,pig (pork)
768,adjective,yükseklik,height
769,verb,tırmanmak,to climb
770,verb,vurmak,to hit
771,verb,tamir etmek,to fix
772,noun,tatil,holiday
773,verb,anlatmak,to tell
774,adjective,arkadaş,friend
775,verb,sakinleşmek,to calm
776,adjective,sonsuza,infinity (endless)
777,noun,mısır,corn
778,noun,ağustos,august
779,noun,karın,belly
780,adverb,yeter,enough
781,noun,kırk,forty
782,adverb,gelecek,next (future)
783,noun,kağıt havlu,paper towel
784,verb,yüzmek,to swim
785,verb,algılamak,to sense
786,verb,tatmak,to taste
787,verb,renklendirmek,to color
789,verb,kullanmak,to use
790,noun,sonbahar,autumn
791,adverb,için,for
792,verb,almak,to get (to buy)
793,verb,giymek,to wear
794,adjective,gerçek,real
795,noun,hakikat,truth (fact)
796,adjective,plastik,plastic
797,adjective,sarı,yellow
798,noun,çanta,bag
799,noun,rüzgar,wind
800,adjective,yeni,new
801,noun,önem,importance
802,adjective,önemli,important
803,adjective,önemsiz,unimportant
804,noun,çarşamba,wednesday
805,noun,fincan,cup
806,noun,egzersiz,exercise
807,verb,nefret etmek,to hate
808,verb,duş almak,to take a shower
809,verb,üzülmek,to be sad
810,noun,dudak,lip
811,adjective,düşük,low
812,adjective,gurur,proud
813,adjective,sıcak,hot
814,noun,güney,south
815,verb,çalışmak,to work (to study)
816,noun,hikaye,story
817,noun,şarj,charger
818,noun,yaprak,leaf
819,verb,özlemek,to miss
820,verb,pişirmek,to cook
821,verb,oynamak,to play
822,verb,ısırmak,to bite
823,verb,okumak,to read
824,noun,kamera,camera
825,verb,uyanmak,to wake up
826,noun,mama sandalyesi,high chair
827,noun,bina,building
828,verb,silmek,to wipe (to erase)
829,verb,gitmek,to go
830,verb,öpmek,to kiss
831,adverb,ileri,forward
832,noun,şiir,poem
833,verb,izlemek,to watch
834,verb,söylemek,to say
835,verb,üşümek,to be cold
836,verb,yardım etmek,to help
837,verb,temizlemek,to clean
838,noun,ağrı,ache
839,verb,ağrımak,to ache
840,noun,şeker,sugar (candy)
841,verb,kırmak,to break
842,noun,çamaşır,laundry
843,verb,acımak,to hurt
844,verb,satmak,to sell
845,noun,hafta,week
846,noun,liste,list
847,noun,tereyağ,butter
848,verb,öldürmek,to kill
849,verb,kavga etmek,to fight
850,noun,fotoğraf,photograph
851,verb,dans etmek,to dance
852,verb,bağırmak,to shout
853,noun,küp,cube
854,noun,şaka,joke
855,adjective,şakacı,joker
856,noun,sayı,number
857,noun,perde,cutain
858,noun,kuzeyinde,north
859,noun,ıslak medil,wet wipes
860,noun,fırın,oven
861,noun,koyun,sheep
862,noun,böcek,bug
863,noun,tuvalet,wash closet
864,noun,kağıt,paper
865,noun,elli,fifty
866,noun,turuncu,orange (color)
867,noun,banka,bank
868,noun,yumurta,egg
869,noun,şemsiye,umbrella
870,noun,yirmi,twenty
871,verb,öğrenmek,to learn
872,verb,koklamak,to smell
873,verb,atlamak,to jump
874,verb,öğretmek,to teach
875,adverb,her,every
876,adjective,ağırlık,weight
877,verb,beklemek,to wait
878,verb,denemek,to try
879,noun,tahta,wood
880,verb,söz vermek,to promise
881,adjective,sert,hard
882,verb,koşmak,to run
883,verb,uçmak,to fly
884,adverb,...daha ...,... than... (more)
885,verb,düşünmek,to think
886,noun,memeler,boobs
887,noun,fiş,plug
888,noun,beyin,brain
889,noun,kare,square
890,adverb,zorunda,have to
891,noun,ceket,jacket
892,noun,dağ,mountain
893,verb,görmek,to see
894,verb,salınmak,to swing
895,verb,geçmek,to cross (to pass)
896,noun,resim,picture
897,verb,bilmek,to know
898,verb,tanımak,to recognize
899,verb,oturmak,to sit
900,verb,sevmek,to love
901,noun,teknoloji,technology
902,noun,duş,shower
903,noun,sırt,back (body)
904,noun,havuz,pool
905,adjective,dişçi,dentist
906,noun,bulaşıklar,dishes
907,noun,şekil,shape
908,adverb,hemen,immediately
909,adjective,pahalı,expensive
910,noun,pazartesi,monday
911,verb,gelmek,to come
912,noun,pilav,cooked rice
913,noun,milyon,million
914,noun,ışık,light
915,noun,kart,card
916,adverb,herkes,everyone
917,noun,armut,pear
918,noun,silindir,cylinder
919,noun,mavi,blue
920,noun,peçete,napkin
921,verb,egzersiz yapmak,to work out
922,verb,saymak,to count
923,noun,temmuz,july
924,noun,omuz,shoulder
925,adjective,yoğun,busy
926,adjective,kısa,short
927,noun,dondurma,ice cream
928,verb,sipariş vermek,to order
929,adjective,sıkıcı,boring
930,adjective,karışık,mixed
931,noun,cumartesi,saturday
932,noun,şubat,february
933,noun,ocak,january
934,noun,baş,head
935,noun,puro,cigar
936,noun,vapur,ferry
937,adjective,zor,difficult
938,noun,gömlek,shirt (button down)
939,adverb,mümkün,possible
940,noun,hediye,gift
941,noun,gaz,gas
942,adjective,geniş,wide
943,noun,kurabiye,cookie
944,noun,yılan,snake
945,noun,koltuk,sofa
946,adverb,şu anda,at this moment
947,noun,haber,news
948,noun,kapı,door
949,noun,metal,metal
950,noun,merdiven,stairs
951,noun,bacak,leg
952,noun,burun,nose
953,noun,batısında,west
954,noun,priz,outlet
955,noun,cam,glass (material)
956,noun,önlük,bib
957,adverb,...lazim,need to...
958,adverb,...lazım,gotta...
959,noun,sağ,right
960,noun,saniye,second
961,noun,bahar,spring
962,noun,tavuk,chicken
963,noun,kablo,cable (wire)
964,noun,fıstık,peanut
965,noun,defter,notebook
966,noun,eylül,september
967,adverb,sık sık,often
968,noun,çilek,strawberry
